Gender,Age Bracket,Standard
M,Under 35,10800
M,35-39,11100
M,40-44,11400
M,45-49,12000
M,50-54,12300
M,55-59,12900
M,60-64,13800
M,65-69,14700
M,70-74,15600
M,75-79,16500
M,80 and Over,17400
F,Under 35,12600
F,35-39,12900
F,40-44,13200
F,45-49,13800
F,50-54,14100
F,55-59,14700
F,60-64,15600
F,65-69,16500
F,70-74,17400
F,75-79,18300
F,80 and Over,19200
