race_year,cutoff_seconds,cutoff_mmss
2012,74,1:14
2013,0,0:00
2014,98,1:38
2015,62,1:02
2016,148,2:28
2017,129,2:09
2018,203,3:23
2019,292,4:52
2020,99,1:39
2021,467,7:47
2022,0,0:00
2023,0,0:00
2024,329,5:29
2025,411,6:51
2026,274,4:34
