model,gender,BQ_Age,buffer_sec,buffer_mmss,prob_accept
Adaline_like,F,18-34,540,9:00,0.7447982267976551
Adaline_like,F,18-34,570,9:30,0.7473563450696132
Adaline_like,F,18-34,600,10:00,0.7498974316800795
Adaline_like,F,18-34,630,10:30,0.75242142680742
Adaline_like,F,18-34,660,11:00,0.754928274527289
Adaline_like,M,40-44,0,0:00,0.6961445226023563
Adaline_like,M,40-44,30,0:30,0.6989932392317121
Adaline_like,M,40-44,60,1:00,0.701826687807407
Adaline_like,M,40-44,90,1:30,0.7046447345127955
Adaline_like,M,40-44,120,2:00,0.7074472497749108
Adaline_like,M,40-44,150,2:30,0.7102341082612461
Adaline_like,M,40-44,180,3:00,0.7130051888744167
Adaline_like,M,40-44,210,3:30,0.7157603747447384
Adaline_like,M,40-44,240,4:00,0.7184995532207611
Adaline_like,M,40-44,270,4:30,0.7212226158577959
Adaline_like,M,40-44,300,5:00,0.7239294584044768
Adaline_like,M,40-44,330,5:30,0.7266199807873982
Adaline_like,M,40-44,360,6:00,0.7292940870938711
Adaline_like,M,40-44,390,6:30,0.7319516855528408
Adaline_like,M,40-44,420,7:00,0.7345926885140113
Adaline_like,M,40-44,450,7:30,0.7372170124252205
Adaline_like,M,40-44,480,8:00,0.7398245778081151
Adaline_like,M,40-44,510,8:30,0.7424153092321655
Adaline_like,M,40-44,540,9:00,0.744989135287077
Adaline_like,M,40-44,570,9:30,0.7475459885536362
Adaline_like,M,40-44,600,10:00,0.7500858055730475
Adaline_like,M,40-44,630,10:30,0.7526085268148028
Adaline_like,M,40-44,660,11:00,0.7551140966431394
LogisticRegression,M,18-34,0,0:00,0.5135851213748843
LogisticRegression,M,18-34,30,0:30,0.9216209487537028
LogisticRegression,M,18-34,60,1:00,0.9924212606473314
LogisticRegression,M,18-34,90,1:30,0.9993147383126306
LogisticRegression,M,18-34,120,2:00,0.9999384283680264
LogisticRegression,M,18-34,150,2:30,0.999994470851531
LogisticRegression,M,18-34,180,3:00,0.9999995035063656
LogisticRegression,M,18-34,210,3:30,0.9999999554172219
LogisticRegression,M,18-34,240,4:00,0.9999999959966792
LogisticRegression,M,18-34,270,4:30,0.9999999996405209
LogisticRegression,M,18-34,300,5:00,0.9999999999677205
LogisticRegression,M,18-34,330,5:30,0.9999999999971014
LogisticRegression,M,18-34,360,6:00,0.9999999999997398
LogisticRegression,M,18-34,390,6:30,0.9999999999999767
LogisticRegression,M,18-34,420,7:00,0.999999999999998
LogisticRegression,M,18-34,450,7:30,0.9999999999999998
LogisticRegression,M,18-34,480,8:00,1.0
LogisticRegression,M,18-34,510,8:30,1.0
LogisticRegression,M,18-34,540,9:00,1.0
LogisticRegression,M,18-34,570,9:30,1.0
LogisticRegression,M,18-34,600,10:00,1.0
LogisticRegression,M,18-34,630,10:30,1.0
LogisticRegression,M,18-34,660,11:00,1.0
LogisticRegression,F,18-34,0,0:00,0.5022456642797312
LogisticRegression,F,18-34,30,0:30,0.9182801952308359
LogisticRegression,F,18-34,60,1:00,0.9920722734474958
LogisticRegression,F,18-34,90,1:30,0.9992829539032735
LogisticRegression,F,18-34,120,2:00,0.9999355706333966
LogisticRegression,F,18-34,150,2:30,0.9999942142111721
LogisticRegression,F,18-34,180,3:00,0.9999994804610494
LogisticRegression,F,18-34,210,3:30,0.9999999533478605
LogisticRegression,F,18-34,240,4:00,0.9999999958108603
LogisticRegression,F,18-34,270,4:30,0.9999999996238353
LogisticRegression,F,18-34,300,5:00,0.9999999999662221
LogisticRegression,F,18-34,330,5:30,0.9999999999969669
LogisticRegression,F,18-34,360,6:00,0.9999999999997276
LogisticRegression,F,18-34,390,6:30,0.9999999999999756
LogisticRegression,F,18-34,420,7:00,0.9999999999999978
LogisticRegression,F,18-34,450,7:30,0.9999999999999998
LogisticRegression,F,18-34,480,8:00,1.0
LogisticRegression,F,18-34,510,8:30,1.0
LogisticRegression,F,18-34,540,9:00,1.0
LogisticRegression,F,18-34,570,9:30,1.0
LogisticRegression,F,18-34,600,10:00,1.0
LogisticRegression,F,18-34,630,10:30,1.0
LogisticRegression,F,18-34,660,11:00,1.0
LogisticRegression,M,40-44,0,0:00,0.5292210638186999
LogisticRegression,M,40-44,30,0:30,0.9260295920166122
LogisticRegression,M,40-44,60,1:00,0.9928783205154023
LogisticRegression,M,40-44,90,1:30,0.999356334824319
LogisticRegression,M,40-44,120,2:00,0.9999421680583351
LogisticRegression,M,40-44,150,2:30,0.9999948066943659
LogisticRegression,M,40-44,180,3:00,0.9999995336637432
LogisticRegression,M,40-44,210,3:30,0.9999999581252128
LogisticRegression,M,40-44,240,4:00,0.9999999962398438
LogisticRegression,M,40-44,270,4:30,0.9999999996623559
LogisticRegression,M,40-44,300,5:00,0.9999999999696811
LogisticRegression,M,40-44,330,5:30,0.9999999999972775
LogisticRegression,M,40-44,360,6:00,0.9999999999997555
LogisticRegression,M,40-44,390,6:30,0.999999999999978
LogisticRegression,M,40-44,420,7:00,0.999999999999998
LogisticRegression,M,40-44,450,7:30,0.9999999999999998
LogisticRegression,M,40-44,480,8:00,1.0
LogisticRegression,M,40-44,510,8:30,1.0
LogisticRegression,M,40-44,540,9:00,1.0
LogisticRegression,M,40-44,570,9:30,1.0
LogisticRegression,M,40-44,600,10:00,1.0
LogisticRegression,M,40-44,630,10:30,1.0
LogisticRegression,M,40-44,660,11:00,1.0
KNN(k=15),M,18-34,0,0:00,0.4666666666666667
KNN(k=15),M,18-34,30,0:30,0.6
KNN(k=15),M,18-34,60,1:00,1.0
KNN(k=15),M,18-34,90,1:30,1.0
KNN(k=15),M,18-34,120,2:00,1.0
KNN(k=15),M,18-34,150,2:30,1.0
KNN(k=15),M,18-34,180,3:00,1.0
KNN(k=15),M,18-34,210,3:30,1.0
KNN(k=15),M,18-34,240,4:00,1.0
KNN(k=15),M,18-34,270,4:30,1.0
KNN(k=15),M,18-34,300,5:00,1.0
KNN(k=15),M,18-34,330,5:30,1.0
KNN(k=15),M,18-34,360,6:00,1.0
KNN(k=15),M,18-34,390,6:30,1.0
KNN(k=15),M,18-34,420,7:00,1.0
KNN(k=15),M,18-34,450,7:30,1.0
KNN(k=15),M,18-34,480,8:00,1.0
KNN(k=15),M,18-34,510,8:30,1.0
KNN(k=15),M,18-34,540,9:00,1.0
KNN(k=15),M,18-34,570,9:30,1.0
KNN(k=15),M,18-34,600,10:00,1.0
KNN(k=15),M,18-34,630,10:30,1.0
KNN(k=15),M,18-34,660,11:00,1.0
KNN(k=15),F,18-34,0,0:00,0.8
KNN(k=15),F,18-34,30,0:30,0.8
KNN(k=15),F,18-34,60,1:00,1.0
KNN(k=15),F,18-34,90,1:30,1.0
KNN(k=15),F,18-34,120,2:00,1.0
KNN(k=15),F,18-34,150,2:30,1.0
KNN(k=15),F,18-34,180,3:00,1.0
KNN(k=15),F,18-34,210,3:30,1.0
KNN(k=15),F,18-34,240,4:00,1.0
KNN(k=15),F,18-34,270,4:30,1.0
KNN(k=15),F,18-34,300,5:00,1.0
KNN(k=15),F,18-34,330,5:30,1.0
KNN(k=15),F,18-34,360,6:00,1.0
KNN(k=15),F,18-34,390,6:30,1.0
KNN(k=15),F,18-34,420,7:00,1.0
KNN(k=15),F,18-34,450,7:30,1.0
KNN(k=15),F,18-34,480,8:00,1.0
KNN(k=15),F,18-34,510,8:30,1.0
KNN(k=15),F,18-34,540,9:00,1.0
KNN(k=15),F,18-34,570,9:30,1.0
KNN(k=15),F,18-34,600,10:00,1.0
KNN(k=15),F,18-34,630,10:30,1.0
KNN(k=15),F,18-34,660,11:00,1.0
KNN(k=15),M,40-44,0,0:00,0.6
KNN(k=15),M,40-44,30,0:30,0.8
KNN(k=15),M,40-44,60,1:00,1.0
KNN(k=15),M,40-44,90,1:30,1.0
KNN(k=15),M,40-44,120,2:00,1.0
KNN(k=15),M,40-44,150,2:30,1.0
KNN(k=15),M,40-44,180,3:00,1.0
KNN(k=15),M,40-44,210,3:30,1.0
KNN(k=15),M,40-44,240,4:00,1.0
KNN(k=15),M,40-44,270,4:30,1.0
KNN(k=15),M,40-44,300,5:00,1.0
KNN(k=15),M,40-44,330,5:30,1.0
KNN(k=15),M,40-44,360,6:00,1.0
KNN(k=15),M,40-44,390,6:30,1.0
KNN(k=15),M,40-44,420,7:00,1.0
KNN(k=15),M,40-44,450,7:30,1.0
KNN(k=15),M,40-44,480,8:00,1.0
KNN(k=15),M,40-44,510,8:30,1.0
KNN(k=15),M,40-44,540,9:00,1.0
KNN(k=15),M,40-44,570,9:30,1.0
KNN(k=15),M,40-44,600,10:00,1.0
KNN(k=15),M,40-44,630,10:30,1.0
KNN(k=15),M,40-44,660,11:00,1.0
LinearSVM(calibrated),M,18-34,0,0:00,0.5266041592269184
LinearSVM(calibrated),M,18-34,30,0:30,0.9284820287763994
LinearSVM(calibrated),M,18-34,60,1:00,0.993535259584662
LinearSVM(calibrated),M,18-34,90,1:30,0.9994484368595771
LinearSVM(calibrated),M,18-34,120,2:00,0.9999526938747213
LinearSVM(calibrated),M,18-34,150,2:30,0.9999958970157777
LinearSVM(calibrated),M,18-34,180,3:00,0.9999996400312225
LinearSVM(calibrated),M,18-34,210,3:30,0.9999999680684433
LinearSVM(calibrated),M,18-34,240,4:00,0.999999997137975
LinearSVM(calibrated),M,18-34,270,4:30,0.9999999997410164
LinearSVM(calibrated),M,18-34,300,5:00,0.9999999999763611
LinearSVM(calibrated),M,18-34,330,5:30,0.9999999999978257
LinearSVM(calibrated),M,18-34,360,6:00,0.9999999999997986
LinearSVM(calibrated),M,18-34,390,6:30,0.9999999999999813
LinearSVM(calibrated),M,18-34,420,7:00,0.9999999999999982
LinearSVM(calibrated),M,18-34,450,7:30,0.9999999999999998
LinearSVM(calibrated),M,18-34,480,8:00,1.0
LinearSVM(calibrated),M,18-34,510,8:30,1.0
LinearSVM(calibrated),M,18-34,540,9:00,1.0
LinearSVM(calibrated),M,18-34,570,9:30,1.0
LinearSVM(calibrated),M,18-34,600,10:00,1.0
LinearSVM(calibrated),M,18-34,630,10:30,1.0
LinearSVM(calibrated),M,18-34,660,11:00,1.0
LinearSVM(calibrated),F,18-34,0,0:00,0.5062464184892466
LinearSVM(calibrated),F,18-34,30,0:30,0.9237221948170969
LinearSVM(calibrated),F,18-34,60,1:00,0.9931035741414252
LinearSVM(calibrated),F,18-34,90,1:30,0.9994133220660141
LinearSVM(calibrated),F,18-34,120,2:00,0.9999498399422843
LinearSVM(calibrated),F,18-34,150,2:30,0.9999956628250557
LinearSVM(calibrated),F,18-34,180,3:00,0.9999996205977867
LinearSVM(calibrated),F,18-34,210,3:30,0.9999999664366799
LinearSVM(calibrated),F,18-34,240,4:00,0.9999999969992854
LinearSVM(calibrated),F,18-34,270,4:30,0.9999999997290836
LinearSVM(calibrated),F,18-34,300,5:00,0.9999999999753217
LinearSVM(calibrated),F,18-34,330,5:30,0.999999999997734
LinearSVM(calibrated),F,18-34,360,6:00,0.9999999999997906
LinearSVM(calibrated),F,18-34,390,6:30,0.9999999999999807
LinearSVM(calibrated),F,18-34,420,7:00,0.9999999999999982
LinearSVM(calibrated),F,18-34,450,7:30,0.9999999999999998
LinearSVM(calibrated),F,18-34,480,8:00,1.0
LinearSVM(calibrated),F,18-34,510,8:30,1.0
LinearSVM(calibrated),F,18-34,540,9:00,1.0
LinearSVM(calibrated),F,18-34,570,9:30,1.0
LinearSVM(calibrated),F,18-34,600,10:00,1.0
LinearSVM(calibrated),F,18-34,630,10:30,1.0
LinearSVM(calibrated),F,18-34,660,11:00,1.0
LinearSVM(calibrated),M,40-44,0,0:00,0.5160885099171947
LinearSVM(calibrated),M,40-44,30,0:30,0.9243870249975379
LinearSVM(calibrated),M,40-44,60,1:00,0.9930524336707809
LinearSVM(calibrated),M,40-44,90,1:30,0.9994016677538827
LinearSVM(calibrated),M,40-44,120,2:00,0.9999482554079684
LinearSVM(calibrated),M,40-44,150,2:30,0.9999954765235654
LinearSVM(calibrated),M,40-44,180,3:00,0.9999996001779452
LinearSVM(calibrated),M,40-44,210,3:30,0.9999999642880828
LinearSVM(calibrated),M,40-44,240,4:00,0.9999999967790225
LinearSVM(calibrated),M,40-44,270,4:30,0.9999999997068967
LinearSVM(calibrated),M,40-44,300,5:00,0.9999999999731143
LinearSVM(calibrated),M,40-44,330,5:30,0.9999999999975163
LinearSVM(calibrated),M,40-44,360,6:00,0.9999999999997691
LinearSVM(calibrated),M,40-44,390,6:30,0.9999999999999784
LinearSVM(calibrated),M,40-44,420,7:00,0.9999999999999979
LinearSVM(calibrated),M,40-44,450,7:30,0.9999999999999998
LinearSVM(calibrated),M,40-44,480,8:00,1.0
LinearSVM(calibrated),M,40-44,510,8:30,1.0
LinearSVM(calibrated),M,40-44,540,9:00,1.0
LinearSVM(calibrated),M,40-44,570,9:30,1.0
LinearSVM(calibrated),M,40-44,600,10:00,1.0
LinearSVM(calibrated),M,40-44,630,10:30,1.0
LinearSVM(calibrated),M,40-44,660,11:00,1.0
DecisionTree,M,18-34,0,0:00,1.0
DecisionTree,M,18-34,30,0:30,1.0
DecisionTree,M,18-34,60,1:00,1.0
DecisionTree,M,18-34,90,1:30,1.0
DecisionTree,M,18-34,120,2:00,1.0
DecisionTree,M,18-34,150,2:30,1.0
DecisionTree,M,18-34,180,3:00,1.0
DecisionTree,M,18-34,210,3:30,1.0
DecisionTree,M,18-34,240,4:00,1.0
DecisionTree,M,18-34,270,4:30,1.0
DecisionTree,M,18-34,300,5:00,1.0
DecisionTree,M,18-34,330,5:30,1.0
DecisionTree,M,18-34,360,6:00,1.0
DecisionTree,M,18-34,390,6:30,1.0
DecisionTree,M,18-34,420,7:00,1.0
DecisionTree,M,18-34,450,7:30,1.0
DecisionTree,M,18-34,480,8:00,1.0
DecisionTree,M,18-34,510,8:30,1.0
DecisionTree,M,18-34,540,9:00,1.0
DecisionTree,M,18-34,570,9:30,1.0
DecisionTree,M,18-34,600,10:00,1.0
DecisionTree,M,18-34,630,10:30,1.0
DecisionTree,M,18-34,660,11:00,1.0
DecisionTree,F,18-34,0,0:00,1.0
DecisionTree,F,18-34,30,0:30,1.0
DecisionTree,F,18-34,60,1:00,1.0
DecisionTree,F,18-34,90,1:30,1.0
DecisionTree,F,18-34,120,2:00,1.0
DecisionTree,F,18-34,150,2:30,1.0
DecisionTree,F,18-34,180,3:00,1.0
DecisionTree,F,18-34,210,3:30,1.0
DecisionTree,F,18-34,240,4:00,1.0
DecisionTree,F,18-34,270,4:30,1.0
DecisionTree,F,18-34,300,5:00,1.0
DecisionTree,F,18-34,330,5:30,1.0
DecisionTree,F,18-34,360,6:00,1.0
DecisionTree,F,18-34,390,6:30,1.0
DecisionTree,F,18-34,420,7:00,1.0
DecisionTree,F,18-34,450,7:30,1.0
DecisionTree,F,18-34,480,8:00,1.0
DecisionTree,F,18-34,510,8:30,1.0
DecisionTree,F,18-34,540,9:00,1.0
DecisionTree,F,18-34,570,9:30,1.0
DecisionTree,F,18-34,600,10:00,1.0
DecisionTree,F,18-34,630,10:30,1.0
DecisionTree,F,18-34,660,11:00,1.0
DecisionTree,M,40-44,0,0:00,1.0
DecisionTree,M,40-44,30,0:30,1.0
DecisionTree,M,40-44,60,1:00,1.0
DecisionTree,M,40-44,90,1:30,1.0
DecisionTree,M,40-44,120,2:00,1.0
DecisionTree,M,40-44,150,2:30,1.0
DecisionTree,M,40-44,180,3:00,1.0
DecisionTree,M,40-44,210,3:30,1.0
DecisionTree,M,40-44,240,4:00,1.0
DecisionTree,M,40-44,270,4:30,1.0
DecisionTree,M,40-44,300,5:00,1.0
DecisionTree,M,40-44,330,5:30,1.0
DecisionTree,M,40-44,360,6:00,1.0
DecisionTree,M,40-44,390,6:30,1.0
DecisionTree,M,40-44,420,7:00,1.0
DecisionTree,M,40-44,450,7:30,1.0
DecisionTree,M,40-44,480,8:00,1.0
DecisionTree,M,40-44,510,8:30,1.0
DecisionTree,M,40-44,540,9:00,1.0
DecisionTree,M,40-44,570,9:30,1.0
DecisionTree,M,40-44,600,10:00,1.0
DecisionTree,M,40-44,630,10:30,1.0
DecisionTree,M,40-44,660,11:00,1.0
RandomForest,M,18-34,0,0:00,0.6766666666666666
RandomForest,M,18-34,30,0:30,1.0
RandomForest,M,18-34,60,1:00,1.0
RandomForest,M,18-34,90,1:30,1.0
RandomForest,M,18-34,120,2:00,1.0
RandomForest,M,18-34,150,2:30,1.0
RandomForest,M,18-34,180,3:00,1.0
RandomForest,M,18-34,210,3:30,1.0
RandomForest,M,18-34,240,4:00,1.0
RandomForest,M,18-34,270,4:30,1.0
RandomForest,M,18-34,300,5:00,1.0
RandomForest,M,18-34,330,5:30,1.0
RandomForest,M,18-34,360,6:00,1.0
RandomForest,M,18-34,390,6:30,1.0
RandomForest,M,18-34,420,7:00,1.0
RandomForest,M,18-34,450,7:30,1.0
RandomForest,M,18-34,480,8:00,1.0
RandomForest,M,18-34,510,8:30,1.0
RandomForest,M,18-34,540,9:00,1.0
RandomForest,M,18-34,570,9:30,1.0
RandomForest,M,18-34,600,10:00,1.0
RandomForest,M,18-34,630,10:30,1.0
RandomForest,M,18-34,660,11:00,1.0
RandomForest,F,18-34,0,0:00,0.7491269841269841
RandomForest,F,18-34,30,0:30,0.9957936507936508
RandomForest,F,18-34,60,1:00,0.9972222222222222
RandomForest,F,18-34,90,1:30,1.0
RandomForest,F,18-34,120,2:00,1.0
RandomForest,F,18-34,150,2:30,1.0
RandomForest,F,18-34,180,3:00,1.0
RandomForest,F,18-34,210,3:30,1.0
RandomForest,F,18-34,240,4:00,1.0
RandomForest,F,18-34,270,4:30,1.0
RandomForest,F,18-34,300,5:00,1.0
RandomForest,F,18-34,330,5:30,1.0
RandomForest,F,18-34,360,6:00,1.0
RandomForest,F,18-34,390,6:30,1.0
RandomForest,F,18-34,420,7:00,1.0
RandomForest,F,18-34,450,7:30,1.0
RandomForest,F,18-34,480,8:00,1.0
RandomForest,F,18-34,510,8:30,1.0
RandomForest,F,18-34,540,9:00,1.0
RandomForest,F,18-34,570,9:30,1.0
RandomForest,F,18-34,600,10:00,1.0
RandomForest,F,18-34,630,10:30,1.0
RandomForest,F,18-34,660,11:00,1.0
RandomForest,M,40-44,0,0:00,0.6611111111111111
RandomForest,M,40-44,30,0:30,0.991111111111111
RandomForest,M,40-44,60,1:00,0.9938888888888887
RandomForest,M,40-44,90,1:30,1.0
RandomForest,M,40-44,120,2:00,1.0
RandomForest,M,40-44,150,2:30,1.0
RandomForest,M,40-44,180,3:00,1.0
RandomForest,M,40-44,210,3:30,1.0
RandomForest,M,40-44,240,4:00,1.0
RandomForest,M,40-44,270,4:30,1.0
RandomForest,M,40-44,300,5:00,1.0
RandomForest,M,40-44,330,5:30,1.0
RandomForest,M,40-44,360,6:00,1.0
RandomForest,M,40-44,390,6:30,1.0
RandomForest,M,40-44,420,7:00,1.0
RandomForest,M,40-44,450,7:30,1.0
RandomForest,M,40-44,480,8:00,1.0
RandomForest,M,40-44,510,8:30,1.0
RandomForest,M,40-44,540,9:00,1.0
RandomForest,M,40-44,570,9:30,1.0
RandomForest,M,40-44,600,10:00,1.0
RandomForest,M,40-44,630,10:30,1.0
RandomForest,M,40-44,660,11:00,1.0
RandomForest(calibrated),M,18-34,0,0:00,0.8779220779220779
RandomForest(calibrated),M,18-34,30,0:30,1.0
RandomForest(calibrated),M,18-34,60,1:00,1.0
RandomForest(calibrated),M,18-34,90,1:30,1.0
RandomForest(calibrated),M,18-34,120,2:00,1.0
RandomForest(calibrated),M,18-34,150,2:30,1.0
RandomForest(calibrated),M,18-34,180,3:00,1.0
RandomForest(calibrated),M,18-34,210,3:30,1.0
RandomForest(calibrated),M,18-34,240,4:00,1.0
RandomForest(calibrated),M,18-34,270,4:30,1.0
RandomForest(calibrated),M,18-34,300,5:00,1.0
RandomForest(calibrated),M,18-34,330,5:30,1.0
RandomForest(calibrated),M,18-34,360,6:00,1.0
RandomForest(calibrated),M,18-34,390,6:30,1.0
RandomForest(calibrated),M,18-34,420,7:00,1.0
RandomForest(calibrated),M,18-34,450,7:30,1.0
RandomForest(calibrated),M,18-34,480,8:00,1.0
RandomForest(calibrated),M,18-34,510,8:30,1.0
RandomForest(calibrated),M,18-34,540,9:00,1.0
RandomForest(calibrated),M,18-34,570,9:30,1.0
RandomForest(calibrated),M,18-34,600,10:00,1.0
RandomForest(calibrated),M,18-34,630,10:30,1.0
RandomForest(calibrated),M,18-34,660,11:00,1.0
RandomForest(calibrated),F,18-34,0,0:00,1.0
RandomForest(calibrated),F,18-34,30,0:30,1.0
RandomForest(calibrated),F,18-34,60,1:00,1.0
RandomForest(calibrated),F,18-34,90,1:30,1.0
RandomForest(calibrated),F,18-34,120,2:00,1.0
RandomForest(calibrated),F,18-34,150,2:30,1.0
RandomForest(calibrated),F,18-34,180,3:00,1.0
RandomForest(calibrated),F,18-34,210,3:30,1.0
RandomForest(calibrated),F,18-34,240,4:00,1.0
RandomForest(calibrated),F,18-34,270,4:30,1.0
RandomForest(calibrated),F,18-34,300,5:00,1.0
RandomForest(calibrated),F,18-34,330,5:30,1.0
RandomForest(calibrated),F,18-34,360,6:00,1.0
RandomForest(calibrated),F,18-34,390,6:30,1.0
RandomForest(calibrated),F,18-34,420,7:00,1.0
RandomForest(calibrated),F,18-34,450,7:30,1.0
RandomForest(calibrated),F,18-34,480,8:00,1.0
RandomForest(calibrated),F,18-34,510,8:30,1.0
RandomForest(calibrated),F,18-34,540,9:00,1.0
RandomForest(calibrated),F,18-34,570,9:30,1.0
RandomForest(calibrated),F,18-34,600,10:00,1.0
RandomForest(calibrated),F,18-34,630,10:30,1.0
RandomForest(calibrated),F,18-34,660,11:00,1.0
RandomForest(calibrated),M,40-44,0,0:00,0.8311688311688311
RandomForest(calibrated),M,40-44,30,0:30,1.0
RandomForest(calibrated),M,40-44,60,1:00,1.0
RandomForest(calibrated),M,40-44,90,1:30,1.0
RandomForest(calibrated),M,40-44,120,2:00,1.0
RandomForest(calibrated),M,40-44,150,2:30,1.0
RandomForest(calibrated),M,40-44,180,3:00,1.0
RandomForest(calibrated),M,40-44,210,3:30,1.0
RandomForest(calibrated),M,40-44,240,4:00,1.0
RandomForest(calibrated),M,40-44,270,4:30,1.0
